"Submitted","HTML Block","第一部分：基本資料","1.單位名稱","2.單位總員工人數","3.工程領域","點選說明","其他，請說明","第二部分：工程與科技領域從業人員統計","1.	員工人數：（請依人員之專長領域填寫對應欄位之員工人數）","男性專任人數","土木營建領域專長 男性 專任 人數","建築、都市規劃領域專長 男性 專任 人數","電子電機領域專長 男性 專任 人數","資訊通訊領域專長 男性 專任 人數","化工材料領域專長 男性 專任 人數","生技醫工領域專長 男性 專任 人數","環工綠能領域專長 男性 專任 人數","機械領域專長 男性 專任 人數","其他領域專長 男性 專任 人數","非工程與科技領域專長 男性 專任 人數","女性專任人數","土木營建領域專長 女性 專任 人數","建築、都市規劃領域專長 女性 專任 人數","電子電機領域專長 女性 專任 人數","資訊通訊領域專長 女性 專任 人數","化工材料領域專長 女性 專任 人數","生技醫工領域專長 女性 專任 人數","環工綠能領域專長 女性 專任 人數","機械領域專長 女性 專任 人數","其他領域專長 女性 專任 人數","非工程與科技領域專長 女性 專任 人數","2.各領域專長人員","(1) 年資分布情形：","土木營建領域專長 男性 人數","服務年資1~5年","服務年資6~10年","服務年資11~15年","服務年資16~20年","服務年資21~25年","服務年資25年以上","土木營建領域專長 女性 人數","建築、都市規劃部門 - 男性","建築、都市規劃部門 - 女性","電子電機部門 - 男性","電子電機部門 - 女性","資訊通訊部門 - 男性","資訊通訊部門 - 女性","化工材料部門 - 男性","化工材料部門 - 女性","生技醫工部門 - 男性","生技醫工部門 - 女性","環工綠能部門 - 男性","環工綠能部門 - 女性","機械部門 - 男性","機械部門 - 女性","其他部門 - 男性","其他部門 - 女性","(2) 管理職人員年資分布情形：","土木營建領域專長 男性 管理職 人數","管理職年資1~5年","管理職年資6~10年","管理職年資11~15年","管理職年資16~20年","管理職年資21~25年","管理職年資25年以上","土木營建領域專長 女性 管理職 人數","建築、都市規劃領域專長 男性 管理職 人數","建築、都市規劃領域專長 女性 管理職 人數","電子電機領域專長 男性 管理職 人數","電子電機領域專長 女性 管理職 人數","資訊通訊領域專長 男性 管理職 人數","資訊通訊領域專長 女性 管理職 人數","化工材料領域專長 男性 管理職 人數","化工材料領域專長 女性 管理職 人數","生技醫工領域專長 男性 管理職 人數","生技醫工領域專長 女性 管理職 人數","環工綠能領域專長 男性 管理職 人數","環工綠能領域專長 女性 管理職 人數","機械領域專長 男性 管理職 人數","機械領域專長 女性 管理職 人數","其他領域專長 男性 管理職 人數","其他領域專長 女性 管理職 人數","(3)各階管理職人員人數：","初階管理職","土木營建領域專長 男性 初階管理職 人數","35歲以下","36-45歲","46-55歲","56-65歲","66歲以上","土木營建領域專長 女性 初階管理職 人數","建築、都市規劃領域專長 男性 初階管理職 人數","建築、都市規劃領域專長 女性 初階管理職 人數","65歲以上","電子電機領域專長 男性 初階管理職 人數","電子電機領域專長 女性 初階管理職 人數","資訊通訊領域專長 男性 初階管理職 人數","資訊通訊領域專長 女性 初階管理職 人數","化工材料領域專長 男性 初階管理職 人數","化工材料領域專長 女性 初階管理職 人數","生技醫工領域專長 男性 初階管理職 人數","生技醫工領域專長 女性 初階管理職 人數","環工綠能領域專長 男性 初階管理職 人數","環工綠能領域專長 女性 初階管理職 人數","機械領域專長 男性 初階管理職 人數","機械領域專長 女性 初階管理職 人數","其他領域專長 男性 初階管理職 人數","其他領域專長 女性 初階管理職 人數","中階管理職","土木營建領域專長 男性 中階管理職 人數","土木營建領域專長 女性 中階管理職 人數","建築、都市規劃領域專長 男性 中階管理職 人數","建築、都市規劃領域專長 女性 中階管理職 人數","電子電機領域專長 男性 中階管理職 人數","電子電機領域專長 女性 中階管理職 人數","資訊通訊領域專長 男性 中階管理職 人數","資訊通訊領域專長 女性 中階管理職 人數","化工材料領域專長 男性 中階管理職 人數","化工材料領域專長 女性 中階管理職 人數","生技醫工領域專長 男性 中階管理職 人數","生技醫工領域專長 女性 中階管理職 人數","環工綠能領域專長 男性 中階管理職 人數","環工綠能領域專長 女性 中階管理職 人數","機械領域專長 男性 中階管理職 人數","機械領域專長 女性 中階管理職 人數","其他領域專長 男性 中階管理職 人數","其他領域專長 女性 中階管理職 人數","高階管理職","土木營建領域專長 男性 高階管理職 人數","土木營建領域專長 女性 高階管理職 人數","建築、都市規劃領域專長 男性 高階管理職 人數","建築、都市規劃領域專長 女性 高階管理職 人數","電子電機領域專長 男性 高階管理職 人數","45-55歲","電子電機領域專長 女性 高階管理職 人數","資訊通訊領域專長 男性 高階管理職 人數","資訊通訊領域專長 女性 高階管理職 人數","化工材料領域專長 男性 高階管理職 人數","化工材料領域專長 女性 高階管理職 人數","生技醫工領域專長 男性 高階管理職 人數","生技醫工領域專長 女性 高階管理職 人數","環工綠能領域專長 男性 高階管理職 人數","環工綠能領域專長 女性 高階管理職 人數","機械領域專長 男性 高階管理職 人數","機械領域專長 女性 高階管理職 人數","其他領域專長 男性 高階管理職 人數","其他領域專長 女性 高階管理職 人數","(4)各階專業職級人員人數：","初階專業職級","土木營建領域專長 男性 初階專業職級 人數","土木營建領域專長 女性 初階專業職級 人數","建築、都市規劃領域專長 男性 初階專業職級 人數","建築、都市規劃領域專長 女性 初階專業職級 人數","電子電機領域專長 男性 初階專業職級 人數","電子電機領域專長 女性 初階專業職級 人數","資訊通訊領域專長 男性 初階專業職級 人數","資訊通訊領域專長 女性 初階專業職級 人數","化工材料領域專長 男性 初階專業職級 人數","化工材料領域專長 女性 初階專業職級 人數","生技醫工領域專長 男性 初階專業職級 人數","生技醫工領域專長 女性 初階專業職級 人數","環工綠能領域專長 男性 初階專業職級 人數","環工綠能領域專長 女性 初階專業職級 人數","機械領域專長 男性 初階專業職級 人數","機械領域專長 女性 初階專業職級 人數","其他領域專長 男性 初階專業職級 人數","其他領域專長 女性 初階專業職級 人數","中階專業職級","土木營建領域專長 男性 中階專業職級 人數","土木營建領域專長 女性 中階專業職級 人數","建築、都市規劃領域專長 男性 中階專業職級 人數","建築、都市規劃領域專長 女性 中階專業職級 人數","電子電機領域專長 男性 中階專業職級 人數","電子電機領域專長 女性 中階專業職級 人數","資訊通訊領域專長 男性 中階專業職級 人數","資訊通訊領域專長 女性 中階專業職級 人數","化工材料領域專長 男性 中階專業職級 人數","36歲以下","化工材料領域專長 女性 中階專業職級 人數","生技醫工領域專長 男性 中階專業職級 人數","生技醫工領域專長 女性 中階專業職級 人數","環工綠能領域專長 男性 中階專業職級 人數","環工綠能領域專長 女性 中階專業職級 人數","機械領域專長 男性 中階專業職級 人數","機械領域專長 女性 中階專業職級 人數","其他領域專長 男性 中階專業職級 人數","其他領域專長 女性 中階專業職級 人數","高階專業職級","土木營建領域專長 男性 高階專業職級 人數","土木營建領域專長 女性 高階專業職級 人數","建築、都市規劃領域專長 男性 高階專業職級 人數","建築、都市規劃領域專長 女性 高階專業職級 人數","電子電機領域專長 男性 高階專業職級 人數","電子電機領域專長 女性 高階專業職級 人數","資訊通訊領域專長 男性 高階專業職級 人數","資訊通訊領域專長 女性 高階專業職級 人數","化工材料領域專長 男性 高階專業職級 人數","化工材料領域專長 女性 高階專業職級 人數","生技醫工領域專長 男性 高階專業職級 人數","生技醫工領域專長 女性 高階專業職級 人數","環工綠能領域專長 男性 高階專業職級 人數","環工綠能領域專長 女性 高階專業職級 人數","機械領域專長 男性 高階專業職級 人數","機械領域專長 女性 高階專業職級 人數","其他領域專長 男性 高階專業職級 人數","其他領域專長 女性 高階專業職級 人數","第三部分：性別相關福利措施，以及轉入工程與科技領域之案例","1. 過去三年間貴單位獲准之育嬰留職停薪人次","男性","106年 請假人次","107年  請假人次","108年 請假人次","女性","106年  請假人次","108年  請假人次","2. 過去三年間貴單位獲准之家庭照謢假人次","3.請勾選貴單位已實施之福利措施，","可複選：","請問哺集乳室共設有幾處？","請說明其他 :","4.貴單位是否有非工程與科技領域背景人員轉任工程職務之事例：","請選擇:","(a) 請問此轉任情況是否是少數個案？","(b) 貴單位是否有鼓勵轉任之機制？若有請說明","5.該少數個案事例：（若有多人請分別填寫）","第一人","1-1. 該轉任是否於貴單位服務期間發生？","1-2 現任工程職務為：","1-3	原專長領域為：","1-4 此轉任事例已於現職服務幾年?","是否有下一位?","第二人","2-1. 該轉任是否於貴單位服務期間發生？","2-2 現任工程職務為：","2-3	原專長領域為：","2-4 此轉任事例已於現職服務幾年?","是否有下一位??","第三人","3-1. 該轉任是否於貴單位服務期間發生？","3-2 現任工程職務為：","3-3	原專長領域為：","3-4 此轉任事例已於現職服務幾年?","是否有下一位??..","第四人","4-1. 該轉任是否於貴單位服務期間發生？","4-2 現任工程職務為：","4-3	原專長領域為：","4-4 此轉任事例已於現職服務幾年?","Submitted Login","Submitted From",
"2019-10-09 10:07:38 +00:00","","","財團法人資訊工業策進會","1800","資訊通訊","","","","","","","","","799","","","","","","213","","","","","308","","","","","","547","","","","357","154","96","54","27","19","","","","","","","","","","","","","","","","","","","","26","45","34","24","8","4","","","","","","","","","","","","","","","","","","","","","16","52","13","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","3","","16","17","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時,其他","5","特約托兒機構","","有","是，請跳答第（四）題","","","","是","資訊通訊","產業推動","2-3","否","","","","","","","","","","","","","","","","","","","140.92.212.168",
"2019-10-09 10:01:04 +00:00","","","財團法人中華顧問工程司","39","土木營建,其他","","智慧交通","","","","20","","","","","","","","5","0","","6","","","","","","","","8","0","","","","17","4","1","1","","3","","","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","8","8","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","哺集乳室,女性生理假（不扣薪）","1","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","61.220.183.234",
"2019-10-09 09:22:06 +00:00","","","研發","8","化工材料","","","","","","","","","","6","","","","","0","","","","","","2","","","","","0","","","","2","1","1","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","育兒津貼,（因照顧家庭因素可申請）彈性工時","","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","1.175.86.54",
"2019-10-09 09:21:12 +00:00","","","經濟部水利署","384","土木營建,資訊通訊,機械","","","","","","173","","","8","","","","2","","57","","43","","","5","","","","0","","91","","","","12","20","30","31","36","44","","","","","","","","","","","","","","","","","","","","","","3","11","19","17","","","","","","","","","","","","","","","","","","","","","19","3","20","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","3","7","","","哺集乳室,女性生理假（不扣薪）","2","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-09 08:47:21 +00:00","","","台灣電力股份有限公司","27532","土木營建,電子電機","","","","","","888","","2001","","","","","","","3495","","79","","360","","","","","","","3027","","","","243","88","143","72","54","288","","","","","","","","","","","","","","","","","","","","0","2","39","48","44","107","","","","","","","","","","","","","","","","","","","","","0","90","37","50","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","21","26","","79","93","","","哺集乳室,女性生理假（不扣薪）,Third Choice托嬰服務（指設有收托二歲以下兒童之服務機構）,托兒服務（指設有收托二歲至六歲兒童之服務機構）,（因照顧家庭因素可申請）彈性工時","","","","有","否，請續答本題(b)","否","","","","","","","是","","是","(表單另寄)","(表單另寄)","(表單另寄)","","","","","","","","","","","","","","211.72.124.239",
"2019-10-09 06:56:52 +00:00","","","財團法人臺灣營建研究院","71","土木營建","","","","","","43","","","","","","","","","2","","10","","","","","","","","","15","","","","25","4","8","3","2","1","","","","","","","","","","","","","","","","","","","","3","1","4","3","0","0","","","","","","","","","","","","","","","","","","","","","0","3","3","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.124.241.87",
"2019-10-09 01:52:09 +00:00","","","公路總局第三區養護工程處大武工務段","15","土木營建","","","","","","9","","","","","","","","","4","","0","","","","","","","","","2","","","","1","3","0","1","8","1","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","哺集乳室,女性生理假（不扣薪）","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.183",
"2019-10-08 14:04:49 +00:00","","","交通部公路總局第三區養護工程處甲仙工務段","33","土木營建","","","","","","19","","","","","","","","","8","","1","","","","","","","","","5","","","","7","3","2","1","2","2","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","3","4","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","女性生理假（不扣薪）","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.183",
"2019-10-08 09:23:44 +00:00","","","中鼎工程股份有限公司","2868","土木營建,電子電機,資訊通訊,化工材料,環工綠能,機械,其他","","煉油石化","","","","603","","225","47","271","","211","154","310","382","","122","","37","18","71","","20","18","55","324","","","","180","94","110","29","83","107","","","","","","","","","","","","","","","","","","","","1","0","0","0","4","29","","","","","","","","","","","","","","","","","","","","","0","0","9","18","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","哺集乳室,托兒服務（指設有收托二歲至六歲兒童之服務機構）,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","61.216.131.171",
"2019-10-08 08:49:15 +00:00","","","公路總局第一區養護工程處景美工務段","21","土木營建","","","","","","9","","","","","","","","","5","","1","","","","","","","","","5","","","","2","1","4","","3","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","哺集乳室","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.181",
"2019-10-08 08:38:33 +00:00","","","交通部公路總局第五區養護工程處曾文工務段","30","土木營建","","","","","","13","","","","","","","","","9","","5","","","","","","","","","3","","","","1","","1","2","10","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","哺集乳室,女性生理假（不扣薪）","1","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","210.69.58.185",
"2019-10-08 03:18:55 +00:00","","","交通部公路總局第四區養護工程處獨立山工務段","13","土木營建,其他","","行政人員","","","","8","","","","","","","","0","3","","0","","","","","","","","0","2","","","","2","","2","2","2","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","育兒津貼,（因照顧家庭因素可申請）彈性工時","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.184",
"2019-10-08 02:52:49 +00:00","","","財團法人國家實驗研究院","90","電子電機,資訊通訊,化工材料","","","","","","","","3","2","1","","","","","29","","","","0","0","1","","","","","54","","","","3","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","1","3","","","哺集乳室,女性生理假（不扣薪）","1處","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","203.145.192.246",
"2019-10-08 01:09:25 +00:00","","","公路總局第五區養護工程處曾文工務段","30","土木營建","","","","","","14","","","","","","","","","2","","5","","","","","","","","","7","","","","3","1","2","","3","5","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","2","2","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","哺集乳室","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.185",
"2019-10-07 10:47:56 +00:00","","","交通部公路總局第四區養護工程處工務科","14","土木營建","","","","","","10","","","","","","","","","0","","2","","","","","","","","","2","","","","1","","","1","10","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","哺集乳室,育兒津貼,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.204",
"2019-10-07 07:42:43 +00:00","","","曾文工務段","22","土木營建","","","","","","10","","","","","","","","","12","","4","","","","","","","","","3","","","","0","0","0","5","5","3","","","","","","","","","","","","","","","","","","","","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）,育兒津貼","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.185",
"2019-10-07 01:35:52 +00:00","","","公路總局所屬單位","0","土木營建","","","","","","不知道","","","","","","","","","不知道","","不知道","","","","","","","","","不知道","","","","不知道","不知道","不知道","不知道","不知道","不知道","","","","","","","","","","","","","","","","","","","","不知道","不知道","不知道","不知道","不知道","不知道","","","","","","","","","","","","","","","","","","","","","不知道","不知道","不知道","不知道","不知道","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","不知道","不知道","不知道","","不知道","不知道","","","其他","","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","210.69.58.182",
"2019-10-07 01:03:24 +00:00","","","公路總局蘇花公路改善工程處南澳工務段","7","土木營建","","","","","","5","","","","","","","","","0","","1","","","","","","","","","1","","","","1","1","","","3","1","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.217",
"2019-10-05 09:25:13 +00:00","","","交通部公路總局第四區養護工程處頭城工務段","12","土木營建","","","","","","9","","","","","","","","","1","","1","","","","","","","","","1","","","","3","1","2","","2","2","","","","","","","","","","","","","","","","","","","","1","","2","","","2","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.184",
"2019-10-05 08:44:07 +00:00","","","公路局第五區養護工程處-阿里山工務段","27","土木營建","","","","","","21","","","","","","","","","2","","2","","","","","","","","","2","","","","4","1","17","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","女性生理假（不扣薪）","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.185",
"2019-10-05 08:04:05 +00:00","","","交通部公路總局第四區養護工程處","125","土木營建,電子電機,機械","","","","","","28","","3","","","","","3","","11","","7","","1","","","","","0","","12","","","","5","1","4","0","9","9","","","","","","","","","","","","","","","","","","","","2","0","2","5","0","0","","","","","","","","","","","","","","","","","","","","","0","1","4","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","3","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","2","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","210.69.58.204",
"2019-10-05 06:36:02 +00:00","","","交通部公路總局第三區養護工程處臺東工務段","29","土木營建","","","","","","12","","","","","","","","","9","","3","","","","","","","","","5","","","","","","","","4","8","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）","1處","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.183",
"2019-10-05 06:24:36 +00:00","","","公路總局第四區養護工程處玉里工務段","18","土木營建","","","","","","6","","","","","","","","","6","","1","","","","","","","","","5","","","","1","4","1","2","1","2","","","","","","","","","","","","","","","","","","","","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","女性生理假（不扣薪）","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.184",
"2019-10-05 04:28:24 +00:00","","","公路總局第一區養護工程處","200+","土木營建,電子電機","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","哺集乳室,女性生理假（不扣薪）","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.201",
"2019-10-05 04:09:23 +00:00","","","交通部公路總局第二區養護工程處信義工務段","33","土木營建","","","","","","25","","","","","","","","","2","","1","","","","","","","","","5","","","","9","11","2","0","3","4","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","8","1","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","女性生理假（不扣薪）,托兒服務（指設有收托二歲至六歲兒童之服務機構）,（因照顧家庭因素可申請）彈性工時","","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.202",
"2019-10-05 03:35:40 +00:00","","","交通部公路總局第四區養護工程處南澳工務段","48","土木營建","","","","","","21","","","","","","","","","19","","0","","","","","","","","","8","","","","1","3","3","1","4","9","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","210.69.58.184",
